time,MLII,V1,V2
0.0,-0.1302343703830679,0.4293125036738265,0.4725470126040536
0.004,-0.04191515999755055,0.42166466170862393,0.4618477297597216
0.008,0.0017492832836948705,0.4598995498352449,0.4340320009288504
0.012,0.08787618389495078,0.5202021193014369,0.45758567581643655
0.016,-0.05960004551207908,0.39429406027912883,0.4506136709765666
0.02,0.048369765638577304,0.5095191775403893,0.33765199327873485
0.024,0.022558921464860215,0.5042760386741129,0.533276140776756
0.028,0.1306847063496839,0.5104120230259442,0.4700837274931651
0.032,0.21857353571523075,0.5332636538950636,0.3718261318738345
0.036,0.02450868678774118,0.510972977788509,0.4877167278238058
0.04,0.19801865295939788,0.5010922108650374,0.38439645969214686
0.044,0.19609364940758875,0.47217644134782644,0.33173690155251306
0.048,0.2104804731285066,0.4334831806981756,0.3561325919756055
0.052,0.12719923886333998,0.45477381097527264,0.39281888259832143
0.056,0.08370671535145531,0.5448420518344465,0.33605605190232163
0.06,0.2409563820577982,0.5304308917927019,0.3723235722324648
0.064,0.14038840658922896,0.45074200217688604,0.30049202644898837
0.068,0.25759122218879327,0.3680799539009976,0.37414893540922245
0.072,0.2903536698292446,0.5616841412912031,0.363365374038936
0.076,0.1699704222223444,0.5782798911254223,0.3736224592364351
0.08,0.28505271765113743,0.5109996238479511,0.226194300485098
0.084,0.3060211602161955,0.4992618640975819,0.2923633989436728
0.088,0.2357504195422473,0.4927442737682956,0.2964270599924177
0.092,0.2648716093011984,0.5073741795271195,0.3439262812307511
0.096,0.2109589621478934,0.5569237310989263,0.27048956863210016
0.1,0.25084187813523123,0.4809857858870626,0.2517874816600862
0.104,0.2971302737787085,0.49778974104243034,0.21750622342462425
0.108,0.2758748060599544,0.5259267422753756,0.13135130792323768
0.112,0.3823801130576342,0.4763002394322216,0.207770448973363
0.116,0.3482513682590103,0.5126013735499564,0.2668561311678887
0.12,0.27287760500076325,0.36565448711378445,0.18060374022544115
0.124,0.39234400994024443,0.470434997160406,0.1961327015768049
0.128,0.44812005728214266,0.3908206644767348,0.15454859309089902
0.132,0.42506850818956765,0.45520260132121276,0.11868746279502658
0.136,0.3226631259842396,0.5567921609491591,0.18391582149389973
0.14,0.43547511230992975,0.5099079186031253,0.1325477801543186
0.144,0.3715107333493405,0.4511633701425918,0.12370749708033457
0.148,0.4738476110825985,0.5211751429018858,0.10996518353136367
0.152,0.3472168239368088,0.4390561255978116,0.07196950618366435
0.156,0.4598514671353221,0.38200722536033227,0.03299484379853988
0.16,0.41903031518977346,0.43432885396993265,0.06002792847474453
0.164,0.4397517348899375,0.49124781047486016,0.07943848772515615
0.168,0.5429821961738747,0.5045844238066228,0.06207868407326819
0.172,0.44109559043434404,0.4553396212894773,0.031930626973556496
0.176,0.5376369008968486,0.4701546853424219,-0.015779404448900233
0.18,0.43253910268679796,0.3974411784248748,-0.054392043177951974
0.184,0.430466178903872,0.3389482565090341,-0.03251498973437318
0.188,0.4020066803176424,0.4351357817757958,0.0028315872063082066
0.192,0.46692960567049213,0.3046049959070217,-0.2207609684282385
0.196,0.4944254789602181,0.4770471147865081,-0.08714974008767368
0.2,0.5406515537125111,0.3327349373534344,-0.055916357935403484
0.204,0.4395578415101075,0.40580035053357205,-0.1368490467509152
0.208,0.44935732793083827,0.375014033113442,-0.15664077627897482
0.212,0.45650401057830187,0.39521802286968855,-0.12781307804975428
0.216,0.43938766284374176,0.4417923924529713,-0.081858564822079
0.22,0.45386242577899033,0.39245117693321196,-0.11854504709812795
0.224,0.4960336322065549,0.3812433954583886,-0.11987981468346912
0.228,0.4098866357901138,0.3528838601204302,-0.15845664830905645
0.232,0.5424234305819319,0.3434338771885103,-0.15268353867378417
0.236,0.4590099587114963,0.3072241753165432,-0.13376913586717576
0.24,0.4549601550314159,0.27734398716305775,-0.23369068571162477
0.244,0.45840596638578124,0.27522897412056513,-0.2494602016534591
0.248,0.5484873305629296,0.24825855332797206,-0.13467812690068148
